Hour,Total,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Felony,Misdemeanor,Violation
12AM,22131.0,5466.0,4681.0,4386.0,6576.0,1005.0,8439.0,11482.0,2210.0
1AM,14114.0,3280.0,2982.0,3067.0,4194.0,566.0,4961.0,7501.0,1652.0
2AM,12061.0,2898.0,2701.0,2515.0,3422.0,511.0,4437.0,6337.0,1287.0
3AM,10232.0,2475.0,2324.0,2160.0,2887.0,375.0,3909.0,5302.0,1021.0
4AM,9034.0,2157.0,2180.0,1954.0,2422.0,311.0,3306.0,4795.0,933.0
5AM,6738.0,1476.0,1541.0,1577.0,1893.0,241.0,2470.0,3449.0,819.0
6AM,7740.0,1552.0,1647.0,1735.0,2498.0,298.0,2794.0,3855.0,1091.0
7AM,10586.0,2450.0,2108.0,2398.0,3204.0,423.0,3161.0,5363.0,2062.0
8AM,16431.0,3997.0,3259.0,3565.0,4876.0,727.0,4882.0,8368.0,3181.0
9AM,17931.0,4587.0,3471.0,3942.0,5162.0,765.0,5477.0,9133.0,3321.0
10AM,19479.0,5121.0,3731.0,4063.0,5640.0,915.0,5586.0,10276.0,3617.0
11AM,19767.0,5330.0,3763.0,4085.0,5738.0,845.0,5347.0,10643.0,3777.0
12PM,26617.0,7138.0,5516.0,5038.0,7629.0,1283.0,8083.0,14033.0,4501.0
1PM,22874.0,6313.0,4311.0,4839.0,6404.0,988.0,6237.0,12566.0,4071.0
2PM,25226.0,6723.0,4706.0,5598.0,7114.0,1074.0,6979.0,13767.0,4480.0
3PM,28235.0,7588.0,5411.0,6151.0,7952.0,1128.0,8048.0,15546.0,4641.0
4PM,27628.0,7587.0,5106.0,6201.0,7629.0,1089.0,8016.0,15319.0,4293.0
5PM,28165.0,7693.0,5198.0,6394.0,7792.0,1070.0,8209.0,15543.0,4413.0
6PM,27467.0,7148.0,5283.0,6235.0,7728.0,1061.0,8071.0,15060.0,4336.0
7PM,25045.0,6396.0,4938.0,5651.0,7076.0,971.0,7444.0,13680.0,3921.0
8PM,24492.0,5863.0,5050.0,5548.0,7002.0,1010.0,7333.0,13121.0,4038.0
9PM,21636.0,4895.0,4529.0,5019.0,6322.0,842.0,6681.0,11430.0,3525.0
10PM,20075.0,4289.0,4342.0,4709.0,5938.0,777.0,6660.0,10409.0,3006.0
11PM,18007.0,3930.0,3797.0,4164.0,5347.0,744.0,6230.0,9303.0,2474.0
12.AM,22131.0,5466.0,4681.0,4386.0,6576.0,1005.0,8439.0,11482.0,2210.0
